"id","length_mins","title","song_count","release_date"
1,86,"Fear Inoculum",10,"2019-08-30"
2,44,"Little Dark Age",10,"2018-02-09"
3,42,"In Rainbows",10,"2007-12-28"
4,43,"Led Zeppelin IV",8,"1971-11-08"
5,76,"Frances the Mute",12,"2005-02-10"
6,65,"For Lack of a Better Name",10,"2009-09-22"
7,68,"Stoney",18,"2016-12-09"
8,37,"New Levels New Devils",10,"2018-10-12"
9,52,"1996",12,"1996-06-04"
10,73,"Welcome Reality +",17,"2011-01-01"
11,76,"Lateralus",13,"2001-05-15"
12,270,"while(1<2)",27,"2014-01-01"
